"URL","school","Term","Department","Course","book","author","editon","publisher","ISBN-13","ISBN-10","image link","is_required","price"
,,"Spring 2024  • "," ","CFTD 743 A QUALITATIVE DATA ANALYSIS • ","Qualitative Data Analysis: A Methods Sourcebook 4TH 20","Miles, Matthew B. / Huberman, A. Michael / Saldana, Johnny","4TH 20","Sage Publications, Inc.","978-1bogus-5063-5307-4","1-506bogus3-5307-X","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/150635307X.gif","Required","$87.25$116.25"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Practice of Emotionally Focused Couple Therapy: Creating Connection 3RD 19","Johnson, Susan M.","3RD 19","Routledge N. Y.","978-0bogus-8153-4801-6","0-815bogus3-4801-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002314013.gif","Required","$30.50$40.50"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Attachment and Adult Clinical Practice 2021","Mandelbaum, Toni","2021","Routledge N. Y.","978-0bogus-367-54853-7","0-367bogus-54853-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0367548534.gif","Required","$31.50"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Attachment-Focused Family Play Therapy 2021","Spooner, Cathi","2021","Routledge N. Y.","978-1bogus-138-93585-3","1-138bogus-93585-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1138935859.gif","Required","$40.50"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","",,,,,,,"",""
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Attachment and the Defence Against Intimacy 2019","Cundy, Linda","2019","Routledge N. Y.","978-1bogus-138-33045-0","1-138bogus-33045-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1138330450.gif","Recommended","$36.00"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Working with Attachment in Couples Therapy 2020","Donovan, Jim","2020","Routledge N. Y.","978-0bogus-367-27777-2","0-367bogus-27777-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0367277778.gif","Recommended","$35.25"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Attachment Therapy 2017","Fear, Rhona M.","2017","Routledge N. Y.","978-1bogus-78220-429-9","1-782bogus20-429-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1782204296.gif","Recommended","$45.00"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Transference and Countertransference from an Attachment Perspective 2020","McCluskey, Una / O’Toole, Michael","2020","Routledge N. Y.","978-0bogus-367-34098-8","0-367bogus-34098-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0367340984.gif","Recommended","$42.50"
,,"Spring 2024  • "," ","CFTD 804 A ADULT ATTACHMENT • ","Attachment (Hardback) 2021","Thompson, Ross A. / Simpson, Jeffry A. / Berlin, Lisa J. (Eds.)","2021","Guilford Press","978-1bogus-4625-4602-2","1-462bogus5-4602-1","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462546021.gif","Recommended","$53.25"
,,"Spring 2024  • "," ","CMHC 601 C PRACTICUM &SEMINAR • ","",,,,,,,"",""
