bookrow_id,bookstoreid,storeid,storenumber,storedisplayname,termname,campusname,department,departmentname,coursename,section,sectionname,instructor,schoolname,bookimage,title,edition,author,isbn,materialtype,requirementtype,publisher,publishercode,copyrightyear,pricerangedisplay,booklink,store_url,user_guid,course_codes,created_on,last_updated_on,file_code
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Legal/Ethical Aspects of H C,01,,Samantha Brower,Mercy College of Health Science,,Legal and Ethical Issues for Health Professionals,5,"Pozgar, George D.",9781284144185,,req,Jones & Bartlett Publishers,,2018-11-01,154.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:8:14,2023-10-9 15:8:14,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Legal/Ethical Aspects of H C,01,,Samantha Brower,Mercy College of Health Science,,Legal and Ethical Issues for Health Professionals,5,"Pozgar, George D.",9781284144185,,req,Jones & Bartlett Publishers,,2018-11-01,154.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:14:23,2023-10-9 15:14:23,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Leadership Strategies in H.C.,01,,William Koller,Mercy College of Health Science,,Leadership for Health Professionals,3,Gerald (Jerry) R. Ledlow,9781284109412,,req,Jones & Bartlett Learning,,2017-02-10,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:14:23,2023-10-9 15:14:23,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Ambulatory Care Serv Org & Adm,01,,Gregory Opseth,Mercy College of Health Science,,Cases in Health Care Management,,"Buchbinder, Sharon B., Shanks, Nancy H., Buchbinder, Dale",9781449674298,,req,"Jones & Bartlett Learning, LLC",,2013-02-23,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:14:23,2023-10-9 15:14:23,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Ambulatory Care Serv Org & Adm,01,,Gregory Opseth,Mercy College of Health Science,,Management Lessons from Mayo Clinic: Inside One of the World’s Most Admired Service Organizations,1,BERRY,9780071590730,,req,McGraw-Hill Education,,2008-06-06,36.00,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:14:23,2023-10-9 15:14:23,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Legal/Ethical Aspects of H C,01,,Samantha Brower,Mercy College of Health Science,,Legal and Ethical Issues for Health Professionals,5,"Pozgar, George D.",9781284144185,,req,Jones & Bartlett Publishers,,2018-11-01,154.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:15:10,2023-10-9 15:15:10,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Leadership Strategies in H.C.,01,,William Koller,Mercy College of Health Science,,Leadership for Health Professionals,3,Gerald (Jerry) R. Ledlow,9781284109412,,req,Jones & Bartlett Learning,,2017-02-10,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:15:10,2023-10-9 15:15:10,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Ambulatory Care Serv Org & Adm,01,,Gregory Opseth,Mercy College of Health Science,,Cases in Health Care Management,,"Buchbinder, Sharon B., Shanks, Nancy H., Buchbinder, Dale",9781449674298,,req,"Jones & Bartlett Learning, LLC",,2013-02-23,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:15:10,2023-10-9 15:15:10,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Ambulatory Care Serv Org & Adm,01,,Gregory Opseth,Mercy College of Health Science,,Management Lessons from Mayo Clinic: Inside One of the World’s Most Admired Service Organizations,1,BERRY,9780071590730,,req,McGraw-Hill Education,,2008-06-06,36.00,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:15:10,2023-10-9 15:15:10,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Legal/Ethical Aspects of H C,01,,Samantha Brower,Mercy College of Health Science,,Legal and Ethical Issues for Health Professionals,5,"Pozgar, George D.",9781284144185,,req,Jones & Bartlett Publishers,,2018-11-01,154.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:26:25,2023-10-9 15:26:25,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Leadership Strategies in H.C.,01,,William Koller,Mercy College of Health Science,,Leadership for Health Professionals,3,Gerald (Jerry) R. Ledlow,9781284109412,,req,Jones & Bartlett Learning,,2017-02-10,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:26:25,2023-10-9 15:26:25,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Legal/Ethical Aspects of H C,01,,Samantha Brower,Mercy College of Health Science,,Legal and Ethical Issues for Health Professionals,5,"Pozgar, George D.",9781284144185,,req,Jones & Bartlett Publishers,,2018-11-01,154.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:29:58,2023-10-9 15:29:58,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Leadership Strategies in H.C.,01,,William Koller,Mercy College of Health Science,,Leadership for Health Professionals,3,Gerald (Jerry) R. Ledlow,9781284109412,,req,Jones & Bartlett Learning,,2017-02-10,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:29:58,2023-10-9 15:29:58,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Ambulatory Care Serv Org & Adm,01,,Gregory Opseth,Mercy College of Health Science,,Cases in Health Care Management,,"Buchbinder, Sharon B., Shanks, Nancy H., Buchbinder, Dale",9781449674298,,req,"Jones & Bartlett Learning, LLC",,2013-02-23,133.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:29:58,2023-10-9 15:29:58,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Ambulatory Care Serv Org & Adm,01,,Gregory Opseth,Mercy College of Health Science,,Management Lessons from Mayo Clinic: Inside One of the World’s Most Admired Service Organizations,1,BERRY,9780071590730,,req,McGraw-Hill Education,,2008-06-06,36.00,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:29:58,2023-10-9 15:29:58,
,1133,,,mchs,Fall-2023-10-week-term,Mercy College of Health Science,HCA,Health Care Administration,Legal/Ethical Aspects of H C,01,,Samantha Brower,Mercy College of Health Science,,Legal and Ethical Issues for Health Professionals,5,"Pozgar, George D.",9781284144185,,req,Jones & Bartlett Publishers,,2018-11-01,154.95,,https://mchs.textbookx.com/institutiol/index.php,,,2023-10-9 15:35:15,2023-10-9 15:35:15,
