"#","source","test_center_id","name","country","country_priority","asigned_to","issue_or_duplicate","url","linkedin","employee","decisionmakers","relevency","orgtype","priority","staffdirectory","coursecatalog","catalogmatch","comment","current_am","org_type"
"11","Cisco","17991","Centros de Integración Juvenil GAM Aragon"," Mexico","A","Abhay","","gob.mx/salud/cij","","","https://www.gob.mx/salud/cij/estructuras/carmen-fernandez-caceres","Relevant","B2B","","https://www.gob.mx/salud/cij#3256","","Not specified","","",""
"12","C-Delivery-partners","285","FEMTECH INFORMATION TECHNOLOGY INSTITUTE"," Nigeria","","Tariq","","www.femtechit.com/training","linkedin.com/company/femtech-information-technology/?originalSubdomain=ng","11","","Relevant","","","","","","","",""
"13","C-Delivery-partners","716","The Penetrating Star"," Saudi Arabia","A","Abhay","no webiste found","www.penstr.com","linkedin.com/company/pensar-development/about/","51","","Irrelevant","B2B","B","","","","Its a company providing I.T services","",""
"14","C-Delivery-partners","47","Altron Bytes People Solutions"," South Africa","","Tariq","","altronbps.co.za/","linkedin.com/company/altron-people-solutions/","1001","","Irrelevant","company","","https://www.signalhire.com/companies/bytes-people-solutions-pty-limited/employees","not found","","","",""
"15","C-Delivery-partners","27","AFRICA COLLEGE OF TECHNOLOGY"," South Africa","","Tariq","","www.africact.co.za","linkedin.com/company/africa-college-of-technology/about/","14","","Irrelevant","","","https://www.linkedin.com/company/africa-college-of-technology/people/","https://www.africact.co.za/courses/","","","",""
"16","Cisco","29703","Kabul University","Afghanistan","C","","","ku.edu.af","linkedin.com/company/kabuluniversity/","887","","","","","","","","","",""
"19","Cisco","29757","د کابل پوهنتون","Afghanistan","C","","","ku.edu.af","linkedin.com/company/kabuluniversity/","887","","","","","","","","","",""
"20","Cisco","29815","Nangarhar University","Afghanistan","C","","","nu.edu.af/en","linkedin.com/school/nangarhar-university/","224","","","","","","","","","",""
"21","Cisco","27202","American University of Afghanistan","Afghanistan","C","","","auaf.edu.af","linkedin.com/company/auaf/","179","","","","","","","","","",""
"22","Cisco","27900","Bakhtar University","Afghanistan","C","","","www.bakhtar.edu.af","linkedin.com/company/bakhtar-university/","113","","","","","","","","","",""
"23","Cisco","26851","دانشگاه کاتب","Afghanistan","C","","","kateb.edu.af","linkedin.com/company/kateb-university-afghanistan/","65","","","","","","","","","",""
"24","Cisco","35096","Gawharshad University","Afghanistan","C","","","gawharshad.edu.af","linkedin.com/company/gawharshad-university/","32","","","","","","","","","",""
"25","Cisco","27412","دانشگاه غرجستان","Afghanistan","C","","","ghu.edu.af","linkedin.com/company/gharjistan-university/","23","","","","","","","","","",""
"26","Cisco","18263","Zoom Byte IT Training Center","Afghanistan","C","","","zoombyte.edu.af","linkedin.com/company/zoom-byte-it-training-center/about/","3","","","","","","","","","",""
"27","Cisco","37703","Asia Higher education Institute","Afghanistan","C","","","Website not found","","","","","","","","","","","",""
"28","Cisco","27200","Ghalib University","Afghanistan","C","","","ghalib.edu.af","","","","","","","","","","","",""
"29","Cisco","32907","Hariwa Institute of Higher Education","Afghanistan","C","","","hariwa.edu.af ","","","","","","","","","","","",""
"30","OA","7050","Herat University","Afghanistan","C","","","www.hu.edu.af","","","","","","","","","","","",""
"31","Cisco","12818","Ibn_e Sina","Afghanistan","C","","","Website not found","","","","","","","","","","","",""
"32","Cisco","29598","Information and Communication Technology Institute (ICTI)","Afghanistan","C","","","Website not found","","","","","","","","","","","",""
"33","Cisco","35222","iTex Services","Afghanistan","C","","","itex.af/","","","","","","","","","","","",""
"34","Cisco","17141","Kabul Education University","Afghanistan","C","","","keu.edu.af/en","","","","","","","","","","","",""
"35","Cisco","35000","Kandahar University Faculty of Computer Science","Afghanistan","C","","","www.kdru.edu.af","","","","","","","","","","","",""
"36","Cisco","27104","Khatam-Al-Nabieen University","Afghanistan","C","","","knu.edu.af/en/","","","","","","","","","","","",""
"37","Cisco","29650","MoWA","Afghanistan","C","","","mowa.gov.af ","","","","","","","","","","","",""
"38","Cisco","17604","Polytechnic University","Afghanistan","C","","","website not found","","","","","","","","","","","",""
